,time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr,ID,glb_ax,glb_ay,glb_az,glb_res
0,0.0,-8.96,2.965,2.611,-3.344,-0.464,-1.331,73.4,-46.3,-38.8,-6.72,6.044,10.676,-10.36,75.767,45.061,-0.082,0.597,0.355,0.715,1,-2.5799478879331534,-9.170191608501424,2.267509814514449,9.792351403008372
1,0.016667,-8.938,2.892,2.606,-3.611,-0.1,-1.537,73.7,-45.2,-39.1,-7.778,4.66,10.374,-10.344,75.771,45.038,-0.082,0.597,0.355,0.715,2,-2.526353893203512,-9.150577440519257,2.219732531490111,9.748986819152028
2,0.033333,-8.965,3.099,2.623,-2.608,-0.259,-1.267,73.3,-47.3,-40.4,-5.814,4.581,10.451,-10.351,75.779,45.033,-0.082,0.597,0.355,0.715,3,-2.6691354446297813,-9.171471608764962,2.3695947982385634,9.84150166387224
3,0.05,-8.955,2.952,2.585,-2.305,-0.081,-1.464,74.5,-47.7,-39.4,-7.757,3.975,9.214,-10.338,75.789,45.013,-0.081,0.597,0.355,0.715,4,-2.5859005126030064,-9.15766626293181,2.2447318672126704,9.776939909808183
4,0.066667,-8.94,3.069,2.657,-2.239,-0.65,-1.587,74.1,-46.1,-39.3,-8.02,6.022,9.764,-10.308,75.794,44.974,-0.081,0.597,0.354,0.715,5,-2.620540225706228,-9.1571164235663,2.3836941353092813,9.818452525729295
5,0.083333,-8.924,3.041,2.595,-2.99,-0.402,-1.993,73.4,-46.7,-39.6,-7.954,4.983,11.76,-10.294,75.801,44.959,-0.081,0.597,0.354,0.715,6,-2.636913954603778,-9.12442284256702,2.326171658768337,9.778521462879754
6,0.1,-8.991,3.078,2.601,-3.313,0.111,-1.849,73.5,-47.3,-38.1,-8.611,4.48,10.741,-10.279,75.807,44.947,-0.081,0.597,0.354,0.715,7,-2.675387130698407,-9.187679368423547,2.346533086052189,9.852784682514887
7,0.116667,-9.04,2.921,2.595,-3.413,0.146,-1.949,73.9,-45.9,-38.2,-8.94,4.305,10.226,-10.24,75.813,44.888,-0.081,0.597,0.354,0.715,8,-2.5810965348261865,-9.238478608894305,2.230766610587171,9.848241772011894
8,0.133333,-9.048,3.073,2.708,-3.259,-0.831,-1.244,74.4,-45.9,-40.0,-8.78,5.386,12.669,-10.227,75.817,44.871,-0.081,0.598,0.354,0.715,9,-2.6186697868968722,-9.270889460356926,2.415796796304764,9.93191305841931
9,0.15,-8.988,3.043,2.592,-3.524,-0.817,-1.188,74.3,-46.1,-40.1,-6.366,6.501,11.003,-10.234,75.822,44.884,-0.081,0.598,0.354,0.715,10,-2.656832340289675,-9.18174661442458,2.3236238990192977,9.836790990968547
10,0.166667,-8.988,3.042,2.618,-2.701,-0.929,-0.188,74.5,-46.6,-39.4,-8.684,5.704,11.371,-10.228,75.827,44.885,-0.081,0.598,0.354,0.715,11,-2.6381982457732356,-9.189476417891749,2.3420642990768763,9.843364871831177
11,0.183333,-9.006,2.978,2.629,-3.412,-1.942,-0.059,73.4,-45.9,-38.3,-9.926,5.693,10.5,-10.192,75.822,44.872,-0.08,0.598,0.354,0.715,12,-2.5907380111840275,-9.21136059798191,2.3080453832956973,9.84317839927734
12,0.2,-8.898,3.109,2.607,-3.661,-1.312,0.763,74.0,-46.1,-39.4,-7.666,5.704,10.058,-10.143,75.806,44.865,-0.08,0.597,0.354,0.715,13,-2.6756026610256547,-9.092071885560513,2.410832476160988,9.779403560544988
13,0.216667,-9.011,3.019,2.718,-3.911,-1.226,0.403,73.7,-46.0,-39.2,-6.697,4.307,11.479,-10.111,75.793,44.879,-0.08,0.597,0.354,0.715,14,-2.5665856462401875,-9.235710435987722,2.411285313500114,9.884331338031927
14,0.233333,-8.962,3.027,2.628,-3.936,-1.234,-0.254,73.4,-44.6,-39.7,-7.643,3.349,10.535,-10.088,75.774,44.896,-0.08,0.597,0.354,0.715,15,-2.6209588775357946,-9.16059393174931,2.3665693270774977,9.817665557554912
15,0.25,-8.982,2.975,2.566,-3.742,-0.564,0.285,73.8,-44.7,-39.6,-8.611,4.42,11.913,-10.087,75.764,44.934,-0.08,0.597,0.354,0.715,16,-2.6281193561395075,-9.164464821864525,2.2840486375496587,9.803637335193503
16,0.266667,-8.909,3.017,2.673,-3.855,-0.707,-0.329,74.0,-45.0,-38.5,-8.985,3.896,11.308,-10.105,75.762,44.974,-0.08,0.597,0.354,0.715,17,-2.5683410719691757,-9.12532935177777,2.397808866365152,9.778420066656986
17,0.283333,-8.787,2.986,2.569,-3.73,0.085,-0.361,73.7,-45.1,-39.5,-6.744,5.216,10.571,-10.101,75.766,44.967,-0.08,0.597,0.354,0.715,18,-2.584468186658719,-8.979887021048285,2.3258287300137894,9.629502894750072
18,0.3,-8.886,2.957,2.557,-3.373,0.222,-0.833,74.3,-45.9,-39.6,-8.553,2.32,10.944,-10.107,75.778,44.982,-0.08,0.597,0.354,0.715,19,-2.5926876328093234,-9.073431008943,2.2790161396157695,9.707888235862626
19,0.316667,-8.997,3.099,2.671,-3.417,-0.133,-0.904,74.4,-45.9,-39.6,-8.949,6.009,10.933,-10.109,75.78,44.981,-0.08,0.597,0.354,0.715,20,-2.6463546722945126,-9.205429402704688,2.4374017847382117,9.883524219629352
20,0.333333,-8.913,3.036,2.647,-3.53,-0.061,-1.844,74.4,-45.6,-39.7,-7.817,5.028,9.731,-10.107,75.782,44.985,-0.08,0.597,0.355,0.715,21,-2.596026740087628,-9.121663024310676,2.3919412274705705,9.780872864933887
21,0.35,-8.93,3.033,2.635,-3.694,-0.225,-1.663,75.1,-45.6,-39.0,-6.709,5.647,10.629,-10.111,75.786,44.988,-0.08,0.597,0.355,0.715,22,-2.605046707648281,-9.134916472720164,2.3778659944152927,9.792201693184223
22,0.366667,-8.957,3.093,2.692,-4.348,-0.092,-2.181,73.1,-46.8,-39.1,-8.342,5.157,12.333,-10.104,75.787,44.98,-0.08,0.597,0.354,0.715,23,-2.6175310595399677,-9.173845438257379,2.455698073320058,9.850957415398769
23,0.383333,-8.965,3.024,2.697,-3.466,0.027,-1.894,73.2,-46.4,-40.1,-8.727,5.985,10.163,-10.082,75.79,44.954,-0.079,0.597,0.354,0.715,24,-2.567843408482989,-9.185406561187568,2.41331650124944,9.838171069868627
24,0.4,-9.034,2.983,2.616,-3.148,-0.769,-1.788,73.4,-44.7,-39.0,-7.782,4.562,8.739,-10.09,75.799,44.948,-0.08,0.597,0.354,0.715,25,-2.6071935607995247,-9.230309507268364,2.3149144987572967,9.866858719977701
25,0.416667,-8.936,3.025,2.756,-3.538,-1.077,-1.119,73.0,-45.3,-39.2,-7.035,5.542,10.805,-10.1,75.801,44.953,-0.08,0.597,0.354,0.715,26,-2.521431774433353,-9.176207511787906,2.4572046124580433,9.828441229411712
26,0.433333,-8.82,3.087,2.633,-3.233,-0.186,-0.863,73.8,-46.5,-40.0,-6.675,5.414,10.569,-10.093,75.797,44.953,-0.08,0.597,0.354,0.715,27,-2.6189000793766235,-9.02559252999299,2.436123941177028,9.708483815714997
27,0.45,-8.859,3.04,2.771,-3.543,-0.115,-1.491,75.2,-45.1,-38.7,-8.925,5.728,12.11,-10.094,75.795,44.955,-0.08,0.597,0.354,0.715,28,-2.5045172825004762,-9.105839969466983,2.492587738097488,9.767390746765484
28,0.466667,-8.872,3.034,2.598,-3.03,-0.202,-1.705,73.9,-46.1,-39.1,-8.388,5.916,10.476,-10.089,75.793,44.954,-0.08,0.597,0.354,0.715,29,-2.6169231524041563,-9.067463817280014,2.36642285670352,9.729704209275841
29,0.483333,-8.931,2.965,2.714,-3.382,0.121,-1.778,73.5,-46.2,-38.7,-7.467,4.492,10.42,-10.085,75.795,44.947,-0.079,0.597,0.354,0.715,30,-2.5059386950055993,-9.161336918880066,2.3895520742680465,9.793864507945779
30,0.5,-9.027,2.964,2.62,-3.208,-0.411,-1.49,73.4,-45.3,-39.2,-8.331,4.703,10.642,-10.074,75.796,44.914,-0.079,0.597,0.354,0.715,31,-2.5918617655084035,-9.224461640613146,2.308242844536138,9.855781298304056
31,0.516667,-8.958,2.913,2.602,-3.195,-0.424,-1.468,73.2,-47.3,-40.5,-8.936,3.788,8.439,-10.069,75.798,44.893,-0.079,0.597,0.354,0.715,32,-2.5514208404540373,-9.15561053792103,2.273056174582196,9.772499015093327
32,0.533333,-8.878,3.06,2.787,-3.235,-1.159,-1.403,73.5,-46.7,-39.5,-7.209,4.595,10.268,-10.076,75.799,44.891,-0.079,0.597,0.354,0.715,33,-2.5165997709725874,-9.125838325463945,2.5170723967009985,9.795399583477948
33,0.55,-8.793,3.026,2.692,-3.739,-0.715,-1.494,73.4,-45.8,-37.2,-8.101,3.603,11.512,-10.064,75.798,44.873,-0.079,0.597,0.354,0.715,34,-2.535057156410648,-9.017817815080898,2.4439386382928556,9.680929139292365
34,0.566667,-8.94,3.047,2.736,-3.737,-0.427,-1.63,73.2,-45.8,-39.1,-7.408,5.003,12.218,-10.022,75.796,44.825,-0.079,0.597,0.353,0.716,35,-2.5600604992683564,-9.167174279370863,2.4703260861123386,9.833285564855725
35,0.583333,-8.834,3.013,2.575,-2.72,0.209,-1.831,72.9,-45.8,-39.9,-7.727,3.643,9.126,-10.012,75.795,44.815,-0.079,0.597,0.353,0.716,36,-2.615919060591505,-9.020120173984258,2.3543044652967504,9.682373159510016
36,0.6,-9.188,2.946,2.542,-3.054,0.218,-0.697,73.5,-44.3,-40.1,-10.315,3.558,10.942,-10.026,75.808,44.823,-0.079,0.598,0.353,0.715,37,-2.672411539618897,-9.35339430914302,2.220868177223206,9.97797694926181
37,0.616667,-8.968,2.941,2.534,-2.56,-0.819,-0.587,74.7,-45.2,-40.2,-8.414,5.766,12.045,-10.051,75.818,44.86,-0.079,0.598,0.354,0.715,38,-2.6171635065730943,-9.143353487997162,2.246152971948298,9.772188137771398
38,0.633333,-8.965,3.121,2.69,-2.868,-0.959,-0.14,74.1,-45.0,-39.3,-6.403,5.373,10.341,-10.049,75.815,44.889,-0.079,0.598,0.354,0.715,39,-2.642063174818729,-9.17669761340688,2.4810661201103086,9.86650728474874
39,0.65,-8.777,3.09,2.752,-3.519,-0.427,-0.468,72.5,-46.5,-39.5,-8.098,3.862,10.046,-10.048,75.808,44.916,-0.079,0.597,0.354,0.715,40,-2.533136741117781,-9.01720460782897,2.535857312891866,9.70347015247638
40,0.666667,-8.859,3.045,2.772,-3.374,0.142,-0.821,73.7,-45.3,-38.9,-8.607,4.464,9.409,-10.036,75.803,44.911,-0.079,0.597,0.354,0.715,41,-2.508607930452698,-9.10296028687707,2.5061704384994945,9.769231801938163
41,0.683333,-8.951,2.957,2.616,-3.173,-1.133,-0.419,73.7,-45.5,-38.9,-7.239,4.825,11.855,-10.039,75.801,44.914,-0.079,0.597,0.354,0.715,42,-2.5699535357831413,-9.14997828307656,2.3196858069883213,9.78303153424336
42,0.7,-8.967,3.008,2.669,-3.181,-1.578,0.084,74.0,-46.3,-39.8,-6.963,5.316,10.046,-10.014,75.794,44.901,-0.079,0.597,0.354,0.715,43,-2.577444312445659,-9.176440549700583,2.393414643151574,9.8274469726374
43,0.716667,-8.774,3.115,2.61,-3.407,0.221,0.926,75.1,-46.3,-39.8,-8.848,5.978,10.765,-9.977,75.798,44.925,-0.079,0.597,0.354,0.715,44,-2.643434998926222,-8.968144033846942,2.46638297809311,9.669457120231726
44,0.733333,-8.931,3.132,2.687,-3.904,-0.236,0.034,74.4,-46.7,-37.8,-6.434,5.537,9.89,-9.956,75.799,44.954,-0.078,0.597,0.354,0.715,45,-2.6407565407330322,-9.139298130774543,2.508343790112633,9.838300361342906
45,0.75,-8.865,3.037,2.643,-4.027,0.288,-0.66,73.2,-46.6,-38.8,-7.556,5.072,13.106,-9.918,75.805,44.929,-0.078,0.597,0.354,0.715,46,-2.585953825536352,-9.066936368707193,2.429104917044286,9.73637730369977
46,0.766667,-8.846,3.027,2.64,-4.049,0.387,-1.487,73.0,-44.9,-39.3,-6.944,5.509,10.689,-9.897,75.802,44.902,-0.078,0.597,0.354,0.715,47,-2.578247252972952,-9.046992807032915,2.426645267036813,9.715145135302922
47,0.783333,-8.924,3.012,2.637,-3.218,0.913,-1.682,72.9,-46.0,-39.4,-7.933,3.897,12.777,-9.903,75.806,44.908,-0.078,0.597,0.354,0.715,48,-2.5873312893310474,-9.121984707752476,2.3997501517404904,9.780781614983539
48,0.8,-8.962,3.0,2.517,-3.076,0.366,-2.088,73.2,-45.5,-39.0,-6.139,5.854,12.552,-9.901,75.814,44.902,-0.078,0.598,0.354,0.715,49,-2.665560508364424,-9.124192159501723,2.3014425069367426,9.780221521008611
49,0.816667,-9.01,3.033,2.716,-3.229,0.536,-1.772,73.4,-46.1,-38.8,-8.088,5.439,11.003,-9.901,75.818,44.892,-0.078,0.598,0.354,0.715,50,-2.570583926678327,-9.226112529369296,2.4549523154876054,9.887155556579456
50,0.833333,-8.902,3.07,2.643,-3.217,-0.146,-1.716,74.6,-46.1,-39.4,-6.855,4.369,11.991,-9.887,75.817,44.879,-0.078,0.598,0.354,0.715,51,-2.619701357211092,-9.09878834471432,2.4505445225739524,9.78038613757146
51,0.85,-8.834,3.055,2.694,-3.695,-0.366,-1.98,74.1,-46.1,-39.2,-5.433,4.248,11.462,-9.875,75.814,44.866,-0.078,0.598,0.354,0.715,52,-2.5604059889260813,-9.048640696495282,2.48930506720266,9.727806381708058
