,time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr,ID,glb_ax,glb_ay,glb_az,glb_res
0,0.0,-3.176,8.686,3.51,-4.25,2.061,-6.868,66.4,-1.7,-27.5,-2.857,10.33,12.243,33.614,69.539,77.127,0.251,0.519,0.576,0.58,1,2.258242571948318,1.799785653118192,9.461225295334119,9.89210149563782
1,0.016667,-3.035,8.632,3.255,-2.905,1.086,-5.467,66.2,-2.4,-28.0,-1.451,10.986,11.003,33.543,69.565,77.059,0.25,0.519,0.575,0.58,2,2.0416921648637865,1.9304179079652124,9.296378531693996,9.711728682371639
2,0.033333,-3.331,8.702,3.329,-4.022,1.137,-6.784,64.6,-2.7,-27.6,-1.219,10.0,12.438,33.473,69.601,76.993,0.25,0.52,0.575,0.58,3,2.0099873949738556,1.7182641480275285,9.534680119943692,9.8945745739774
3,0.05,-3.188,8.716,3.279,-6.766,-2.222,-8.398,66.3,-1.8,-28.2,-2.817,11.279,11.406,33.374,69.574,76.903,0.249,0.52,0.574,0.581,4,1.9853553056034197,1.8391708749821711,9.463596346164055,9.842958955517389
4,0.066667,-3.217,8.64,3.012,-7.811,-3.336,-9.275,66.5,-1.8,-28.0,-2.017,10.899,14.475,33.274,69.526,76.813,0.249,0.52,0.574,0.582,5,1.7062290872761456,1.8208914536075862,9.372511382543726,9.699011959988503
5,0.083333,-3.056,8.658,3.176,-8.585,-2.918,-9.681,65.9,-2.4,-27.4,-0.957,10.564,13.262,33.166,69.459,76.708,0.248,0.519,0.573,0.583,6,1.890347888387148,1.909036794164354,9.336446828392315,9.715301127602787
6,0.1,-3.47,8.766,3.345,-9.07,-1.914,-9.069,66.3,-2.4,-27.0,-1.593,11.323,10.686,33.033,69.399,76.62,0.247,0.519,0.573,0.584,7,1.907911434446334,1.5921953725939328,9.690070632033567,10.003633389923884
7,0.116667,-2.367,8.163,3.094,-7.186,0.35,-8.263,65.5,-2.0,-29.1,-0.287,10.715,10.046,32.957,69.298,76.561,0.247,0.519,0.573,0.585,8,2.003347518457247,2.155195487100257,8.552884024273558,9.044893255312633
8,0.133333,-3.164,8.562,3.286,-6.932,3.112,-8.489,66.6,-1.7,-28.3,-1.048,12.088,11.481,32.783,69.335,76.553,0.245,0.519,0.573,0.585,9,1.9258060322496195,1.6917963525196122,9.356582294179447,9.70136773862325
9,0.15,-3.412,8.796,3.103,-5.696,3.331,-6.41,65.5,-1.8,-27.5,-1.529,12.707,10.181,32.637,69.396,76.538,0.244,0.519,0.573,0.585,10,1.657475986655143,1.652210077288081,9.652095327656543,9.931765653699244
10,0.166667,-3.641,9.046,3.449,-4.849,-0.646,-2.706,66.0,-2.7,-27.6,-3.049,10.324,11.381,32.554,69.423,76.522,0.244,0.52,0.573,0.585,11,1.9032513276760996,1.5255581783806866,10.051512554241523,10.343239241166183
11,0.183333,-3.567,9.051,3.475,-3.891,-1.393,-0.455,66.6,-2.8,-27.8,-3.093,11.173,11.6,32.543,69.422,76.509,0.244,0.52,0.573,0.586,12,1.9471830275740498,1.5800539042227648,10.021557908672582,10.330523462051671
12,0.2,-3.458,9.118,3.796,-4.993,-2.563,-0.124,65.7,-2.5,-28.6,-3.136,11.889,11.481,32.562,69.377,76.505,0.244,0.519,0.573,0.586,13,2.2853918556310027,1.6340120924819717,10.080292284841653,10.464478200082409
13,0.216667,-3.39,9.116,3.555,-5.904,-1.741,-0.642,65.4,-2.7,-28.0,-4.925,9.145,10.637,32.552,69.334,76.554,0.244,0.519,0.573,0.586,14,2.0838859478840526,1.7340276962516312,9.994105678090644,10.35526827271993
14,0.233333,-3.162,8.928,3.398,-6.725,-0.459,-0.495,66.0,-3.2,-27.2,-1.207,10.753,13.498,32.522,69.299,76.615,0.243,0.519,0.573,0.586,15,2.016604444625163,1.8316756388562463,9.6866972115339,10.062496310558332
15,0.25,-3.044,8.775,3.269,-7.794,-0.112,-0.105,65.9,-1.8,-27.6,-4.648,11.03,10.073,32.499,69.251,76.664,0.243,0.518,0.574,0.586,16,1.9410114071509699,1.8582279540225488,9.472717962031751,9.846467488393998
16,0.266667,-3.043,8.54,3.247,-7.147,0.586,-0.12,64.7,-1.2,-27.9,-3.764,12.4,13.344,32.488,69.211,76.723,0.243,0.518,0.574,0.586,17,1.9365514334520375,1.723019481133083,9.274450410306303,9.629873207888046
17,0.283333,-3.055,8.456,3.201,-7.321,-0.268,0.231,67.0,-0.9,-27.6,-3.345,10.044,13.38,32.45,69.185,76.809,0.243,0.518,0.575,0.585,18,1.9023694547655237,1.664007323699493,9.20301212018378,9.543760370000914
18,0.3,-3.219,8.388,3.369,-6.495,-0.217,-0.321,65.9,-3.5,-28.7,-0.05,10.062,11.464,32.413,69.159,76.868,0.243,0.518,0.575,0.585,19,2.0221349700301925,1.4465429640621532,9.267639916187036,9.595346059418597
19,0.316667,-3.204,8.41,3.364,-5.391,-0.285,-0.63,65.8,-3.3,-29.0,-1.529,9.952,12.313,32.375,69.145,76.917,0.242,0.517,0.576,0.585,20,2.026388990448333,1.4624959481338922,9.27712591598722,9.607820356355544
20,0.333333,-3.212,8.386,3.353,-5.02,-0.601,-0.605,65.7,-2.6,-27.0,-1.527,10.092,12.346,32.337,69.139,76.961,0.242,0.517,0.576,0.585,21,2.0182866118045926,1.4362017406903664,9.260042802959838,9.585642857941243
21,0.35,-3.233,8.326,3.361,-4.567,-1.223,-1.105,66.1,-3.1,-27.5,-1.556,9.387,10.886,32.336,69.114,76.948,0.242,0.517,0.576,0.585,22,2.019836554463903,1.3835543327951805,9.223715287315361,9.543106726847396
22,0.366667,-3.246,8.445,3.258,-3.118,-1.315,-1.337,66.6,-1.5,-26.7,-3.274,11.66,10.017,32.339,69.112,76.923,0.242,0.517,0.576,0.585,23,1.9114129058397495,1.4670115235917343,9.309322364868365,9.616085742130215
23,0.383333,-3.303,8.554,3.515,-2.082,-0.099,-1.975,66.6,-3.0,-27.7,-1.882,10.345,11.271,32.344,69.12,76.895,0.242,0.517,0.575,0.585,24,2.1324904967770633,1.4267030923014064,9.479079732103383,9.82018075190065
24,0.4,-3.246,8.485,3.52,-1.654,0.13,-1.49,65.7,-3.3,-27.4,-1.539,11.585,10.732,32.35,69.143,76.877,0.242,0.517,0.575,0.585,25,2.153428207207301,1.4343939547251048,9.392944263597652,9.742799443691737
25,0.416667,-3.193,8.573,3.511,-2.556,-0.378,-1.8,66.7,-1.6,-27.7,-3.111,8.611,11.6,32.359,69.151,76.857,0.242,0.517,0.575,0.585,26,2.155874477379996,1.5313793259457948,9.435347455067426,9.798913154018665
26,0.433333,-3.189,8.545,3.448,-2.056,-0.75,-1.873,65.4,-2.4,-26.9,-3.482,9.355,9.41,32.365,69.159,76.839,0.242,0.518,0.575,0.585,27,2.095318628176871,1.5357550511631035,9.398220377775893,9.750664079948608
27,0.45,-3.346,8.578,3.509,-1.941,-1.089,-1.342,65.4,-2.6,-27.9,-1.731,11.629,10.784,32.376,69.162,76.805,0.242,0.518,0.575,0.586,28,2.1010587139995214,1.4205703077864498,9.521471172091116,9.853470505360027
28,0.466667,-3.159,8.567,3.532,-2.464,-0.084,-1.784,66.3,-3.0,-27.8,-1.119,13.224,11.498,32.365,69.172,76.811,0.242,0.518,0.575,0.586,29,2.179425092401634,1.5548524679442957,9.4170236311447,9.790188660082094
29,0.483333,-3.246,8.594,3.578,-3.53,0.698,-2.172,66.8,-3.0,-28.1,-1.435,11.252,11.003,32.354,69.172,76.803,0.242,0.518,0.575,0.586,30,2.1945935902316496,1.489697762054331,9.495261742124042,9.858774568880252
30,0.5,-3.293,8.594,3.632,-3.992,1.264,-2.738,66.3,-1.9,-27.8,-3.253,11.003,11.577,32.303,69.182,76.808,0.242,0.518,0.575,0.586,31,2.2294178247472107,1.4321667956952453,9.53261262362042,9.894044117548695
