,time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr,ID,glb_ax,glb_ay,glb_az,glb_res
0,0.0,1.593,7.819,5.795,-5.077,0.917,0.366,18.3,5.6,-23.8,2.077,10.85,14.199,23.546,74.705,148.727,0.139,0.442,0.88,0.104,1,9.63896344634812,-1.4922956664337264,-1.455978133045928,9.86186772371238
1,0.016667,1.501,7.877,5.793,-5.401,-1.0,0.012,18.7,6.2,-22.7,4.305,10.046,12.473,23.593,74.619,148.712,0.14,0.442,0.88,0.104,2,9.66469572559738,-1.588874228600225,-1.3885655250328637,9.892369736316978
2,0.033333,1.659,7.863,5.697,-4.34,-1.38,0.466,17.8,6.4,-23.4,0.897,9.687,13.096,23.68,74.542,148.68,0.14,0.441,0.88,0.105,3,9.64997477268647,-1.4170362079583072,-1.3801645814358106,9.85062734042863
3,0.05,1.581,7.848,5.644,-3.222,-2.122,0.007,19.1,6.3,-23.5,1.623,8.714,14.333,23.758,74.504,148.657,0.141,0.441,0.88,0.105,4,9.59529693095964,-1.4672849211219487,-1.3125367678525062,9.795172331306889
4,0.066667,1.455,7.919,5.692,-3.734,-1.996,0.359,18.2,5.3,-22.7,1.718,8.893,13.763,23.849,74.46,148.597,0.141,0.441,0.88,0.105,5,9.646617669736738,-1.608449451813649,-1.257818705093591,9.860347356964661
5,0.083333,1.332,7.826,5.731,-4.361,-1.999,0.703,17.3,7.1,-24.9,1.575,11.009,13.324,23.925,74.397,148.548,0.142,0.441,0.88,0.106,6,9.54992523130199,-1.7419538209842464,-1.2764740350277557,9.791060259236485
6,0.1,1.294,7.78,5.543,-3.919,-2.133,1.637,17.7,6.6,-22.1,1.755,9.409,12.386,23.977,74.369,148.562,0.142,0.441,0.88,0.106,7,9.421667057795938,-1.6916665642839845,-1.1393590686550148,9.63990067376215
7,0.116667,1.39,7.744,5.499,-3.208,-2.673,1.305,16.5,7.0,-23.1,1.435,10.561,14.131,24.064,74.338,148.534,0.143,0.44,0.88,0.106,8,9.395156163803861,-1.5904417881471464,-1.1585217202338542,9.59899145743968
8,0.133333,1.459,7.679,5.479,-3.118,-2.661,0.708,18.7,6.2,-23.0,1.851,9.838,12.438,24.154,74.33,148.509,0.143,0.44,0.88,0.106,9,9.346881860402092,-1.520200730723846,-1.1999800939986527,9.545426286971159
9,0.15,1.6,7.687,5.424,-1.774,-2.427,-1.005,19.0,7.2,-22.2,1.909,9.567,14.097,24.262,74.319,148.43,0.144,0.44,0.88,0.107,10,9.367540136377125,-1.3693872974608563,-1.2015470123621803,9.54304694528954
10,0.166667,1.647,7.702,5.716,-2.285,-3.315,-1.809,16.6,5.4,-23.8,1.46,9.58,13.64,24.374,74.275,148.324,0.145,0.44,0.88,0.107,11,9.513410786997662,-1.4716325384726092,-1.4266681006965864,9.731704321443393
11,0.183333,1.623,7.871,5.631,-1.833,-2.874,-0.494,17.8,6.6,-22.8,1.856,9.481,14.547,24.457,74.267,148.27,0.145,0.44,0.879,0.108,12,9.62189260322595,-1.4552246949871406,-1.2635010166538514,9.812998063792735
12,0.2,1.538,7.738,5.678,-2.807,-3.158,-0.503,17.9,6.5,-23.8,1.868,10.217,14.613,24.545,74.249,148.207,0.146,0.44,0.879,0.108,13,9.50442474436302,-1.55050146134384,-1.3204648791658706,9.72017345524245
13,0.216667,1.547,7.815,5.467,-1.606,-3.472,-0.734,18.2,5.9,-23.4,2.785,9.629,12.353,24.633,74.243,148.139,0.146,0.441,0.879,0.109,14,9.488699949546115,-1.440581466687588,-1.115715602346667,9.662066186898121
14,0.233333,1.564,7.792,5.404,-1.271,-2.818,-1.602,17.3,6.4,-24.1,1.635,11.081,13.194,24.73,74.255,148.05,0.147,0.441,0.879,0.109,15,9.44893708429199,-1.3888453363076751,-1.0739053072352518,9.610649093583639
15,0.25,1.549,7.947,5.437,-1.645,-1.946,-2.312,18.1,7.4,-23.6,2.584,10.049,14.062,24.784,74.281,147.968,0.147,0.441,0.879,0.11,16,9.59726431431614,-1.4118040539534353,-1.0072268832763416,9.752701113025045
16,0.266667,1.454,7.907,5.583,-1.196,-1.245,-1.464,18.0,5.5,-24.3,1.692,9.384,13.727,24.827,74.314,147.891,0.147,0.441,0.878,0.11,17,9.602171280659713,-1.5553347930894779,-1.088069105470394,9.787985185930761
17,0.283333,1.521,8.013,5.567,-1.457,-2.7,-0.068,18.9,4.8,-24.2,1.659,9.616,13.394,24.896,74.34,147.817,0.148,0.442,0.878,0.11,18,9.707123589777058,-1.4823845873322334,-1.0427782832575563,9.874872100437553
18,0.3,1.593,7.927,5.501,-2.909,-4.372,1.218,18.9,4.7,-24.0,2.536,9.567,12.582,25.016,74.334,147.763,0.149,0.442,0.878,0.111,19,9.622641081111642,-1.3858546289420492,-1.0583782743152357,9.779364958932662
19,0.316667,1.916,7.832,5.342,-3.882,-4.0,1.075,18.0,4.7,-23.0,1.754,11.004,12.917,25.188,74.291,147.7,0.15,0.441,0.878,0.111,20,9.552086852654012,-1.0315426497840443,-1.1143610371108807,9.672034119046518
20,0.333333,1.786,7.87,5.386,-4.339,-3.148,-0.382,18.4,5.5,-22.7,2.267,9.292,13.093,25.33,74.24,147.646,0.151,0.441,0.878,0.112,21,9.571431553411012,-1.174244032624792,-1.0698322159166562,9.702354971861213
21,0.35,1.741,7.733,5.371,-3.774,-1.198,-1.989,19.5,6.3,-24.1,2.249,8.316,14.402,25.421,74.189,147.581,0.151,0.441,0.877,0.112,22,9.4343534086396,-1.2105466077705556,-1.0979816352314606,9.574863497721521
22,0.366667,1.744,7.927,5.335,-3.83,-0.739,-1.884,18.2,6.1,-23.1,2.736,9.223,13.394,25.482,74.156,147.503,0.152,0.441,0.877,0.113,23,9.590688763791027,-1.1930286477276966,-0.9677095027918261,9.712934160180437
23,0.383333,1.567,7.882,5.378,-6.268,-1.461,-1.019,17.9,6.7,-23.3,0.045,9.715,13.167,25.518,74.091,147.449,0.152,0.441,0.877,0.113,24,9.525287649557294,-1.3754318150855926,-0.9388181481211664,9.66976199293447
24,0.4,1.627,7.724,5.37,-6.998,-2.782,-0.664,17.1,5.8,-23.3,2.146,9.567,13.887,25.571,73.998,147.411,0.152,0.44,0.877,0.114,25,9.39722883944466,-1.3317544137751967,-1.0308856971070472,9.546947417892277
25,0.416667,1.625,7.754,5.361,-6.389,-1.609,-1.687,17.8,6.2,-24.7,1.435,11.267,16.473,25.618,73.906,147.397,0.153,0.44,0.878,0.114,26,9.417173577463174,-1.3442547781733412,-1.007612476742708,9.565848733907515
26,0.433333,1.874,7.764,5.366,-5.415,1.062,-3.296,18.6,5.4,-23.1,1.435,9.861,13.6,25.614,73.85,147.373,0.153,0.44,0.878,0.115,27,9.489759358485074,-1.1387241672508202,-1.1105415746219807,9.622137392492377
27,0.45,1.709,7.635,5.34,-2.627,3.519,-3.368,18.3,5.6,-24.2,1.612,8.611,13.306,25.577,73.843,147.327,0.152,0.44,0.878,0.115,28,9.326050786065904,-1.2647607200718705,-1.074552491357589,9.472565967043987
28,0.466667,1.488,7.819,5.472,-1.418,2.391,-2.572,17.6,7.7,-24.0,2.313,9.248,13.875,25.537,73.865,147.258,0.152,0.44,0.877,0.116,29,9.48896726099435,-1.5151104778543074,-0.9785854892003301,9.65886582368758
29,0.483333,1.41,8.034,5.542,-2.101,1.089,-1.359,18.4,6.4,-24.0,0.816,10.314,13.324,25.484,73.924,147.227,0.152,0.44,0.877,0.116,30,9.689054152268561,-1.6068185436721565,-0.8873464949604799,9.86139036850281
30,0.5,1.372,7.985,5.425,-2.613,-0.584,-0.47,16.7,5.7,-25.1,1.384,8.672,13.629,25.485,73.948,147.178,0.152,0.441,0.877,0.116,31,9.589502612357968,-1.573767391691628,-0.7987051047963902,9.75055044600047
31,0.516667,1.51,7.809,5.446,-2.321,-0.2,-0.005,17.3,5.3,-24.8,3.723,9.141,13.343,25.499,73.974,147.163,0.152,0.441,0.877,0.116,32,9.480281245444145,-1.4579646918820948,-0.9581771571609956,9.63947597123412
