,time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr,ID,glb_ax,glb_ay,glb_az,glb_res
0,0.0,-0.046,8.571,4.556,-0.154,-0.488,0.528,-5.3,78.5,27.8,-1.229,18.657,14.013,7.002,88.233,146.015,0.041,0.515,0.852,0.081,1,9.651439833455528,-0.21984883235836705,1.0112708005764828,9.706765321156169
1,0.016667,-0.085,8.479,4.485,-0.265,-0.001,0.407,-6.1,79.9,28.6,0.0,17.843,11.357,7.077,88.201,145.949,0.041,0.515,0.852,0.081,2,9.53311686220008,-0.2566523039214681,1.0342647081517742,9.592491386496
2,0.033333,-0.185,8.449,4.471,-0.207,-1.309,-0.15,-4.6,79.0,28.2,0.563,18.742,12.608,7.126,88.163,145.887,0.042,0.515,0.852,0.082,3,9.496018132404393,-0.3595530219708975,1.0516787786385005,9.560840287338765
3,0.05,-0.066,8.509,4.403,0.677,-1.084,-0.718,-5.6,78.2,28.2,0.478,19.135,14.869,7.185,88.132,145.813,0.042,0.515,0.852,0.083,4,9.510194211654932,-0.23315382245650482,1.1382843896315926,9.580910499529782
4,0.066667,-0.244,8.788,4.613,1.057,1.051,-1.159,-5.2,78.5,28.1,0.0,19.735,15.422,7.22,88.116,145.725,0.042,0.515,0.852,0.083,5,9.851205219245335,-0.4232436436778028,1.158822482695182,9.928154360202102
5,0.083333,-0.177,8.811,4.551,1.323,2.857,-1.309,-6.7,77.6,29.2,0.203,20.092,13.394,7.206,88.122,145.633,0.042,0.515,0.852,0.084,6,9.835904896818148,-0.34544644061928664,1.2297530717230398,9.918500441094915
6,0.1,-0.315,8.871,4.644,0.643,3.055,-1.212,-5.3,78.7,27.8,0.285,19.99,13.588,7.117,88.141,145.574,0.042,0.516,0.852,0.084,7,9.932139989840024,-0.48827279805604495,1.2144080438218094,10.018013875015347
7,0.116667,-0.367,8.854,4.692,0.677,1.914,0.28,-5.6,78.4,27.5,0.478,20.236,13.139,7.078,88.139,145.513,0.041,0.516,0.852,0.085,8,9.942158987832448,-0.5461630062163699,1.1823914881726634,10.027106711310097
8,0.133333,-0.423,8.663,4.765,0.67,-1.862,1.705,-5.7,79.8,28.8,0.449,19.584,11.18,7.098,88.107,145.465,0.042,0.516,0.851,0.085,9,9.822519699949588,-0.6227507395791335,1.030539305633656,9.896045826490498
9,0.15,-0.185,8.62,4.757,-0.222,-3.267,1.77,-5.2,79.4,27.9,0.052,19.935,14.994,7.196,88.069,145.429,0.042,0.516,0.851,0.086,10,9.789526344335183,-0.39160089419684574,0.9896952527074462,9.84721656103896
10,0.166667,-0.073,8.589,4.673,-0.402,-2.388,1.342,-5.3,80.2,28.0,0.134,17.968,13.243,7.321,88.013,145.379,0.043,0.515,0.851,0.086,11,9.71928654191542,-0.2777727058109077,1.0351282239646806,9.778199169581278
11,0.183333,-0.064,8.583,4.563,0.909,-0.82,1.031,-4.9,79.6,28.3,0.262,18.749,13.873,7.411,87.97,145.324,0.043,0.515,0.851,0.087,12,9.651417993371938,-0.2596717448002472,1.1294491144663392,9.720748633721582
12,0.2,-0.306,8.747,4.526,0.579,0.335,-0.301,-4.1,78.2,28.0,0.659,19.08,14.649,7.447,87.955,145.26,0.044,0.515,0.851,0.087,13,9.755776233101837,-0.4878666408098889,1.2942709262091034,9.853340601034757
13,0.216667,-0.392,8.732,4.57,-0.11,0.232,-0.22,-5.7,81.1,27.5,0.0,20.092,13.873,7.492,87.905,145.16,0.044,0.515,0.851,0.088,14,9.76273023989401,-0.584561708972189,1.278191641133107,9.86338623394623
14,0.233333,-0.325,8.693,4.542,0.216,-1.332,1.481,-6.2,79.5,27.7,-0.033,19.118,14.318,7.532,87.866,145.087,0.044,0.515,0.851,0.089,15,9.715343997037102,-0.5203771650461784,1.2825508275829198,9.813441700035721
15,0.25,-0.251,8.612,4.571,-1.008,-2.944,1.046,-6.2,78.7,28.1,1.652,19.548,13.112,7.587,87.834,145.055,0.045,0.515,0.851,0.089,16,9.667098713412683,-0.45790584183044086,1.208764123041548,9.753132112301156
16,0.266667,-0.086,8.526,4.467,-1.465,-2.462,-0.346,-6.2,78.2,28.2,1.656,20.312,12.843,7.663,87.779,145.017,0.045,0.515,0.851,0.09,17,9.542494078788176,-0.2914683951260081,1.2288262411485484,9.625703143147518
17,0.283333,-0.241,8.621,4.526,0.408,0.615,-2.075,-4.4,79.0,27.4,0.957,20.112,12.936,7.673,87.738,144.965,0.045,0.515,0.851,0.09,18,9.646758886478446,-0.45395100283645584,1.264266377458842,9.739835624896347
18,0.3,-0.205,8.679,4.527,1.336,1.42,-1.854,-5.6,79.3,27.8,-0.311,19.493,12.223,7.67,87.706,144.859,0.045,0.515,0.851,0.091,19,9.693849939513534,-0.4188588329959444,1.3094371417577602,9.790852618643587
19,0.316667,-0.209,8.749,4.459,0.265,2.204,-1.07,-5.5,79.9,27.1,0.222,19.306,13.702,7.623,87.719,144.795,0.045,0.515,0.851,0.092,20,9.710838007863462,-0.40820227760037364,1.4157538930182143,9.821983659118965
20,0.333333,-0.291,8.704,4.43,-0.417,1.837,0.991,-4.6,78.9,28.4,0.0,19.135,12.905,7.599,87.728,144.761,0.045,0.516,0.851,0.092,21,9.653398023974361,-0.4858710439491552,1.4300464745523613,9.770833997157048
21,0.35,-0.113,8.821,4.383,-0.23,2.21,2.285,-4.8,79.9,27.8,0.635,19.613,13.238,7.64,87.739,144.716,0.045,0.516,0.851,0.092,22,9.728287496967745,-0.2942827570932736,1.5189861866451029,9.850558309050305
22,0.366667,-0.189,8.815,4.495,-0.538,3.089,1.923,-4.9,79.1,28.5,0.636,19.451,12.916,7.656,87.738,144.69,0.045,0.516,0.851,0.092,23,9.783954694253566,-0.3836676752030959,1.439444565031207,9.896715162113136
23,0.383333,-0.217,8.859,4.585,0.769,4.285,1.746,-5.5,79.4,27.2,0.715,19.141,14.115,7.637,87.761,144.673,0.045,0.516,0.85,0.093,24,9.870220238078877,-0.41735302262517715,1.3984862910746674,9.977534515099409
