,time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr,ID,glb_ax,glb_ay,glb_az,glb_res
0,0.0,-0.353,9.02,3.742,-0.757,-0.427,0.756,-4.8,78.7,24.4,0.478,20.139,14.639,3.997,95.307,142.134,0.023,0.555,0.828,0.077,1,9.393278466979128,0.6996751881604032,2.6008358796469593,9.771774301527847
1,0.016667,-0.199,9.003,3.748,-0.486,-0.559,0.674,-5.0,79.2,25.1,0.584,19.135,12.332,4.082,95.277,142.076,0.024,0.555,0.828,0.077,2,9.366908918770012,0.8500218378591501,2.5844910877442278,9.75403065404246
2,0.033333,-0.32,8.973,3.802,0.672,0.065,0.762,-5.1,79.6,24.0,-0.46,20.092,13.498,4.156,95.239,142.031,0.024,0.555,0.828,0.078,3,9.386054395092332,0.7237733776929614,2.539777153631961,9.750504243371212
3,0.05,-0.472,9.051,3.846,0.915,-1.12,0.051,-5.8,79.4,24.3,0.478,20.361,12.02,4.183,95.22,142.006,0.024,0.555,0.828,0.078,4,9.486952158326313,0.5801101762678393,2.5683286255886704,9.84556250297564
4,0.066667,-0.449,9.097,3.844,0.592,-1.655,-0.037,-4.8,79.2,23.6,0.0,19.067,10.329,4.248,95.178,141.948,0.025,0.555,0.828,0.079,5,9.51705845328363,0.6047434255544579,2.6063825095390873,9.886017701784679
5,0.083333,-0.376,9.051,3.629,-0.196,-1.316,-0.78,-5.8,80.2,24.2,0.0,18.313,13.738,4.303,95.158,141.899,0.025,0.555,0.828,0.079,6,9.339113322104236,0.6721637366331559,2.7496865763302045,9.758668864143305
6,0.1,-0.402,9.091,3.671,-0.409,-0.113,0.021,-5.0,79.2,24.3,0.478,20.79,11.039,4.337,95.156,141.871,0.025,0.555,0.828,0.079,7,9.397181056841521,0.6523967597533746,2.747997935370802,9.812447503044286
7,0.116667,-0.458,9.012,3.792,-1.379,-0.05,0.21,-4.5,79.8,24.3,0.119,17.815,13.635,4.377,95.112,141.813,0.026,0.555,0.828,0.08,8,9.413306365446504,0.5821452919741905,2.6183854050304753,9.788011646907659
8,0.133333,-0.562,9.0,3.815,-0.377,-0.815,0.266,-5.0,79.1,24.8,0.124,18.657,11.682,4.433,95.073,141.756,0.026,0.555,0.828,0.081,9,9.424974621311469,0.4739608702875132,2.6106097910394412,9.791326212520955
9,0.15,-0.458,8.917,3.811,0.181,-0.423,0.79,-4.9,78.9,25.0,0.848,20.374,13.394,4.492,95.029,141.706,0.026,0.555,0.828,0.081,10,9.346684367439408,0.5634315010405044,2.5628910002376264,9.708057169176538
10,0.166667,-0.475,9.139,3.848,0.645,-1.03,-0.286,-5.3,79.2,24.4,0.0,19.021,12.574,4.55,94.992,141.651,0.027,0.555,0.827,0.082,11,9.54136608792887,0.5693355634855084,2.6818352283970635,9.92743924685515
11,0.183333,-0.391,9.048,3.705,-0.293,-1.208,-0.463,-6.6,79.6,24.7,0.0,18.592,10.588,4.603,94.959,141.602,0.027,0.555,0.827,0.082,12,9.371995833732944,0.6407825097097637,2.738850464655272,9.784999233520665
12,0.2,-0.339,9.028,3.725,0.807,-0.322,0.492,-5.1,79.2,24.2,0.0,21.427,11.102,4.626,94.956,141.587,0.027,0.555,0.827,0.082,13,9.363694167300286,0.6906221418295393,2.709170094047516,9.772171201938699
13,0.216667,-0.471,8.904,3.666,-0.149,-1.143,0.577,-4.8,79.8,24.1,0.347,19.35,12.736,4.67,94.932,141.542,0.027,0.555,0.827,0.083,14,9.239872052946296,0.5441032699992927,2.696540204921496,9.640674924506063
14,0.233333,-0.444,9.006,3.623,-0.448,-1.278,0.294,-6.5,79.5,24.4,-0.427,19.664,12.275,4.717,94.911,141.49,0.028,0.555,0.827,0.083,15,9.287265581083151,0.5827118442262809,2.7997224742868103,9.717576909909178
15,0.25,-0.37,9.056,3.665,-0.179,-0.261,0.297,-5.1,79.2,23.7,0.295,19.543,11.889,4.74,94.914,141.47,0.028,0.555,0.827,0.083,16,9.34488287881676,0.6634290246012258,2.795225735162379,9.77651579040304
16,0.266667,-0.282,9.02,3.795,0.982,0.395,0.497,-4.1,79.1,24.4,0.0,18.96,11.205,4.787,94.908,141.425,0.028,0.555,0.827,0.084,17,9.388634601710194,0.7467419662941669,2.671678452086852,9.789890142386687
17,0.283333,-0.404,9.072,3.827,0.101,1.467,-0.285,-6.0,80.3,25.0,-0.899,18.618,13.873,4.825,94.887,141.365,0.028,0.555,0.827,0.084,18,9.456589473805685,0.630317992884273,2.6992487383999735,9.854457316361971
18,0.3,-0.507,9.085,3.83,-0.056,0.178,0.332,-5.6,78.8,23.8,0.0,20.507,10.007,4.817,94.876,141.341,0.028,0.555,0.827,0.085,19,9.476261578864294,0.5276045714604307,2.7175860437370654,9.872343895955003
19,0.316667,-0.725,9.002,3.861,-1.035,-1.449,0.622,-4.8,79.3,24.4,-0.667,18.279,14.44,4.82,94.856,141.313,0.028,0.555,0.827,0.085,20,9.448774332895118,0.29805247003564783,2.6647285661260325,9.821860821656966
20,0.333333,-0.489,9.028,3.76,-0.597,-2.123,1.08,-6.1,79.2,25.5,0.252,18.707,13.722,4.892,94.812,141.262,0.029,0.555,0.827,0.085,21,9.383162788394323,0.5334401441251213,2.748309061791969,9.791910181369108
21,0.35,-0.559,9.035,3.75,-1.282,-1.938,0.732,-3.8,78.5,24.0,0.0,19.582,12.576,4.959,94.775,141.233,0.029,0.555,0.827,0.086,22,9.386748872271642,0.46236489151728405,2.7715285161800645,9.798275664625894
22,0.366667,-0.697,9.013,3.717,-0.195,-0.161,1.439,-5.0,77.9,24.6,-0.264,20.784,9.92,5.028,94.731,141.157,0.029,0.555,0.827,0.087,23,9.356662846512373,0.32018992688661496,2.8082745213770197,9.774255316902664
23,0.383333,-0.731,9.29,3.791,-0.234,-0.315,1.889,-4.4,79.0,25.7,-1.417,20.539,12.904,5.07,94.707,141.101,0.03,0.555,0.827,0.087,24,9.616966384018443,0.31690394665026916,2.9366088362695963,10.060325143850967
24,0.4,-0.481,9.171,3.834,-0.248,-0.099,1.682,-5.1,79.2,24.0,-1.208,19.286,12.21,5.121,94.679,141.072,0.03,0.555,0.827,0.087,25,9.53055464688097,0.5483199998004267,2.81176658004081,9.951791697980822
25,0.416667,-0.295,8.86,3.839,-0.436,-0.885,2.614,-6.8,79.1,24.1,-0.484,18.488,12.764,5.2,94.635,141.05,0.03,0.555,0.827,0.088,26,9.278120896585865,0.6924356411094483,2.6002983504317445,9.660463032381005
26,0.433333,-0.219,8.845,3.838,1.908,0.847,3.527,-5.8,77.8,24.8,0.479,19.376,12.915,5.257,94.666,141.08,0.031,0.555,0.827,0.087,27,9.260568326055516,0.7733384422352777,2.579932544121734,9.644284836108897
27,0.45,-0.163,9.048,3.971,1.417,-1.206,2.99,-5.4,79.6,24.3,0.792,19.299,12.744,5.338,94.691,141.078,0.031,0.555,0.827,0.087,28,9.495781100549202,0.8585880989551898,2.5989770616119503,9.882394143121392
28,0.466667,-0.159,9.089,3.691,-0.618,-1.648,1.741,-6.0,80.8,24.3,0.628,19.791,13.723,5.438,94.686,141.069,0.032,0.555,0.827,0.087,29,9.349284357058403,0.8775948509863343,2.8424271826003347,9.811150951850653
29,0.483333,-0.361,9.045,3.665,-2.605,-1.393,1.041,-4.8,78.8,24.5,0.472,18.677,13.374,5.492,94.648,141.078,0.032,0.555,0.827,0.087,30,9.316053881238025,0.6687429990530268,2.8528045644746634,9.765990528359117
30,0.5,-0.569,8.912,3.663,-1.981,0.095,0.411,-5.7,77.9,23.3,0.0,20.57,11.871,5.539,94.577,141.05,0.032,0.554,0.827,0.088,31,9.22806903868515,0.43724190732866636,2.7958246246387026,9.652205654667748
31,0.516667,-0.4,8.857,3.657,-0.906,-0.233,1.184,-5.0,78.9,26.0,0.0,19.613,12.608,5.568,94.542,141.032,0.033,0.554,0.827,0.088,32,9.167857657704609,0.5943223566007899,2.7526832190630706,9.590625527044624
32,0.533333,-0.343,8.916,3.67,0.076,-0.424,1.326,-5.4,79.7,24.9,0.0,18.882,12.212,5.621,94.515,140.984,0.033,0.554,0.827,0.089,33,9.214780055022171,0.6565550106041347,2.7817924177796205,9.647880855400318
33,0.55,-0.178,8.911,3.721,0.913,1.278,0.423,-5.7,78.8,24.8,0.144,18.276,11.434,5.662,94.508,140.958,0.033,0.554,0.827,0.089,34,9.229000779884284,0.8194284425998528,2.7271830947616293,9.658335570894188
